molecule_id,smiles,final_score
SMOL-0384,CCNc1nc(-c2c(F)cc(C)nc2S(N)(=O)=O)cc(Cl)c1F,74.22
SMOL-0384,CCNc1nc(-c2c(S(N)(=O)=O)nc(C)c(OC)c2F)cc(Cl)c1F,73.57
SMOL-0384,CCNc1ccnc(-c2ccccc2S(N)(=O)=O)c1,73.0
SMOL-0384,CCNc1ccnc(-c2ccccc2S(N)(=O)=O)n1,71.66
SMOL-0384,CCNc1nc(-c2c(F)cc(C)nc2S(N)(=O)=O)nc(Cl)c1F,71.64
SMOL-0109,CCNc1c(F)cc(C)c(C)c1-c1nc(S(N)(=O)=O)cc(N)c1F,74.47
SMOL-0109,CCNc1c(F)cc(C)c(C)c1-c1nc(S(N)(=O)=O)c(C)c(N)c1F,74.46
SMOL-0109,CCNc1c(F)ccc(C)c1-c1nc(S(N)(=O)=O)ccc1F,74.44
SMOL-0109,CCNc1cccc(C)c1-c1nc(S(N)(=O)=O)ccc1F,74.38
SMOL-0109,CCNc1c(F)cc(C)c(C)c1-c1nc(S(N)(=O)=O)ccc1F,74.0
SMOL-0211,Cc1ccc(Cl)c(-c2cc(S(N)(=O)=O)ccn2)c1C(C)N,72.97
SMOL-0211,Cc1cc(S(N)(=O)=O)cc(-c2c(Cl)ccc(C)c2C(C)N)n1,72.72
SMOL-0211,COc1c(C)nc(-c2c(F)ccc(C)c2C(C)N)c(F)c1S(N)(=O)=O,72.38
SMOL-0211,CC(C)c1ccccc1-c1cc(S(N)(=O)=O)ccn1,72.32
SMOL-0211,CC(C)c1cccc(F)c1-c1cc(S(N)(=O)=O)ccn1,72.21
SMOL-0074,CC(C)c1nccc(N)c1-c1cccc(S(N)(=O)=O)n1,72.8
SMOL-0074,CC(C)c1cccc(N)c1-c1cccc(S(N)(=O)=O)n1,72.61
SMOL-0074,CC(C)c1ccccc1-c1cccc(S(N)(=O)=O)n1,72.32
SMOL-0074,CC(C)c1nccc(O)c1-c1cccc(S(N)(=O)=O)n1,71.52
SMOL-0074,Cc1cc(N)c(-c2cccc(S(=O)(=O)O)n2)c(C(C)C)n1,70.63
SMOL-0358,Cc1cccc(CC(C)C)c1-c1cc(O)cc(S(N)(=O)=O)n1,73.13
SMOL-0358,CC(C)Cc1ccccc1-c1cccc(S(N)(=O)=O)n1,72.24
SMOL-0358,Cc1cc(O)c(-c2cc(O)cc(S(N)(=O)=O)n2)c(CC(C)C)c1F,71.77
SMOL-0358,Cc1cc(N)c(-c2cc(O)c(C)c(S(N)(=O)=O)n2)c(CC(C)C)c1F,71.74
SMOL-0358,Cc1cc(F)c(-c2cc(O)cc(S(N)(=O)=O)n2)c(CC(C)C)c1F,71.63
SMOL-0301,COc1cc(C(=O)O)nc(-c2c3c(cc(C)c2OC)N=NNN=C3)c1,76.06
SMOL-0301,COc1ccc2c(c1-c1cccc(C(=O)O)n1)C=NNN=N2,75.91
SMOL-0301,COc1c(C)cc2c(c1-c1cccc(C(=O)O)n1)C=NNN=N2,75.83
SMOL-0301,COc1ccc2c(c1-c1cccc(C(N)=O)n1)C=NNN=N2,72.59
SMOL-0301,NC(=O)c1cccc(-c2cccc3c2C=NNN=N3)n1,70.92
SMOL-0451,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1,73.31
SMOL-0451,CCc1cc(OC)c(C)c(-c2c(S(N)(=O)=O)cc(N)c(OC)c2C)n1,72.93
SMOL-0451,CCc1cc(OC)cc(-c2c(C)cc(N)cc2S(N)(=O)=O)n1,72.54
SMOL-0451,CCc1cc(OC)c(C)c(-c2c(S(N)(=O)=O)cc(N)c(OC)c2C)c1,72.51
SMOL-0451,CCc1cc(OC)c(C)c(-c2c(C)c(OC)c(N)c(OC)c2S(N)(=O)=O)c1,71.75
SMOL-0401,CCc1nc(C)c(O)c(C)c1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl,72.65
SMOL-0401,CCc1ncc(Cl)cc1-c1nc(OC)cc(S(N)(=O)=O)c1Cl,72.26
SMOL-0401,CCc1nc(C)c(O)cc1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl,72.19
SMOL-0401,CCc1ncc(Cl)cc1-c1nc(OC)cc(S(N)(=O)=O)c1F,72.15
SMOL-0401,CCc1ncc(F)cc1-c1nc(OC)cc(S(N)(=O)=O)c1Cl,72.15
SMOL-0093,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl,74.19
SMOL-0093,COc1c(C)c(S(N)(=O)=O)c(-c2cc(Cl)c(F)c(N)n2)c(C)c1F,73.92
SMOL-0093,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)c(F)c(N)n2)c(C)c1F,73.59
SMOL-0093,COc1c(C)c(S(N)(=O)=O)c(-c2nc(N)c(F)c(Cl)c2OC)c(C)c1F,73.51
SMOL-0093,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)c(F)c(N)n2)c(C)c1Cl,73.23
SMOL-0134,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC,71.33
SMOL-0134,COc1cc(NC(C)=O)nc(-c2c(F)cnc(C)c2C(=O)O)c1OC,71.23
SMOL-0134,COc1c(-c2c(F)cnc(C)c2C(=O)O)nc(NC(C)=O)c(F)c1OC,71.01
SMOL-0134,COc1cc(NC(C)=O)nc(-c2c(Cl)cnc(C)c2C(=O)O)c1OC,70.77
SMOL-0134,COc1cc(NC(C)=O)nc(-c2ccncc2C(=O)O)c1OC,70.52
